id,label,pageranks,twitter_score,audience_sw_apr_june24,Hard News,topic_niv1,clusters_legend,date_fusion,SPEL,CPPAP,ORG,PROPR,media_category,lrecon_23_mean,antielite_salience_23_mean,eu_position_23_mean,refugees_23_mean,galtan_23_mean
462,Mirastnews.net,0.000283,"0,103708995",5000,TRUE,Actu,Extrême Droite - Réinformation,2016,FALSE,FALSE,|||,||||,,,,,,
463,Igen.fr,0.000684,"0,103526141",1024000,FALSE,Technologie,Economique - Tech - Gaming,2012,TRUE,FALSE,|||,||||,,,,,,
464,Lemoniteur.fr,0.001287,"0,103270482",1764000,TRUE,Actu,Economique - Tech - Gaming,1903,TRUE,FALSE,|||,||||,NaN,5.472,4.234,6.998,8.112,4.352
465,Fflose.com,0.000635,"0,102900981",1666000,FALSE,Humour,PQR - Sport - Météo,,FALSE,FALSE,|||,||||,,,,,,
466,Planimaux.com,0,"0,10277126",5000,FALSE,Animaux,Divers,,FALSE,FALSE,|||,||||,,,,,,
467,Dailymercato.com,0.000326,"0,102581671",3474000,FALSE,Sport,PQR - Sport - Météo,,FALSE,FALSE,|||,||||,,,,,,
468,Footballclubdemarseille.fr,0.000319,"0,101389992",3157000,FALSE,Sport,PQR - Sport - Météo,,FALSE,FALSE,|||,||||,,,,,,
469,Auto-Moto.com,0.00133,"0,100777601",12780000,FALSE,Transports,Economique - Tech - Gaming,,FALSE,FALSE,|||,||||,NaN,5.795,6.854,3.621,5.67,6.658
471,Woopets.fr,0.000702,"0,099369049",8492000,FALSE,Animaux,PQR - Sport - Météo,,FALSE,FALSE,|||,||||,,,,,,
473,Universfreebox.com,0.000862,"0,099273649",10700000,FALSE,Technologie,PQR - Sport - Météo,,FALSE,FALSE,|||,||||,,,,,,
474,Safetypromo.net,0.000451,"0,098893645",7501,FALSE,Lifestyle,Lifestyle – Santé – TV,,FALSE,FALSE,|||,||||,,,,,,
475,Air-Cosmos.com,0.000493,"0,098709632",1502000,TRUE,Transports,Droite - Extrême Droite,1963,FALSE,FALSE,|||,||||,NaN,5.833,5.706,5.161,6.707,5.765
476,Moyens.net,0.000258,"0,098296505",2256000,FALSE,Technologie,PQR - Sport - Météo,,FALSE,FALSE,|||,||||,,,,,,
477,Linfodurable.fr,0.000408,"0,098253202",1107000,TRUE,Ecologie,Divers,2017,TRUE,TRUE,|||,||||,NaN,4.93,4.717,6.589,7.906,4.012
